N_b T n_Fe n_Fecalk
1.166670514E+01 315 1.223046344E+00 1.229070256E+0
1.166670514E+01 320 1.227964533E+00 1.232706288E+0
1.166670514E+01 325 1.231560638E+00 1.236342318E+0
1.166670514E+01 330 1.239356956E+00 1.239978347E+0
1.166670514E+01 335 1.246591312E+00 1.243614373E+0
1.166670514E+01 340 1.250408649E+00 1.247250397E+0
1.183333839E+01 290 1.201413439E+00 1.210890086E+0
1.183333839E+01 295 1.210021787E+00 1.214526121E+0
1.183333839E+01 300 1.208444553E+00 1.218162157E+0
1.183333839E+01 305 1.217531320E+00 1.221798192E+0
1.183333839E+01 310 1.226546579E+00 1.225434228E+0
1.183333839E+01 315 1.225166924E+00 1.229070263E+0
1.183333839E+01 320 1.228409865E+00 1.232706298E+0
1.183333839E+01 325 1.232893614E+00 1.236342332E+0
1.183333839E+01 330 1.240120550E+00 1.239978366E+0
1.183333839E+01 335 1.247590422E+00 1.243614399E+0
1.183333839E+01 340 1.253167722E+00 1.247250431E+0
1.200000000E+01 290 1.212006417E+00 1.210890086E+0
1.200000000E+01 295 1.210157642E+00 1.214526122E+0
1.200000000E+01 300 1.216208001E+00 1.218162158E+0
1.200000000E+01 305 1.217775620E+00 1.221798194E+0
1.200000000E+01 310 1.226883815E+00 1.225434229E+0
1.200000000E+01 315 1.225589823E+00 1.229070265E+0
1.200000000E+01 320 1.228948175E+00 1.232706301E+0
1.200000000E+01 325 1.237476768E+00 1.236342336E+0
1.200000000E+01 330 1.241038628E+00 1.239978371E+0
1.200000000E+01 335 1.248788982E+00 1.243614407E+0
1.200000000E+01 340 1.255847733E+00 1.247250441E+0
1.216672606E+01 290 1.216130811E+00 1.210890086E+0
1.216672606E+01 295 1.210315852E+00 1.214526122E+0
1.216672606E+01 300 1.219591982E+00 1.218162158E+0
1.216672606E+01 305 1.218057575E+00 1.221798194E+0
1.216672606E+01 310 1.227271578E+00 1.225434230E+0
1.216672606E+01 315 1.232302470E+00 1.229070266E+0
1.216672606E+01 320 1.229566421E+00 1.232706302E+0
1.216672606E+01 325 1.238315678E+00 1.236342337E+0
1.216672606E+01 330 1.242105810E+00 1.239978373E+0
1.216672606E+01 335 1.250162762E+00 1.243614409E+0
1.216672606E+01 340 1.257771284E+00 1.247250444E+0
1.233324570E+01 290 1.224842740E+00 1.210890086E+0
1.233324570E+01 295 1.210496765E+00 1.214526122E+0
1.233324570E+01 300 1.219840795E+00 1.218162158E+0
1.233324570E+01 305 1.218365355E+00 1.221798194E+0
1.233324570E+01 310 1.227704678E+00 1.225434230E+0
1.233324570E+01 315 1.236937982E+00 1.229070266E+0
1.233324570E+01 320 1.235820644E+00 1.232706302E+0
1.233324570E+01 325 1.239285389E+00 1.236342338E+0
1.233324570E+01 330 1.247208508E+00 1.239978374E+0
1.233324570E+01 335 1.251837363E+00 1.243614410E+0
1.233324570E+01 340 1.259629034E+00 1.247250445E+0
1.249996187E+01 290 1.225056135E+00 1.210890086E+0
1.249996187E+01 295 1.221897774E+00 1.214526122E+0
1.249996187E+01 300 1.220149982E+00 1.218162158E+0
1.249996187E+01 305 1.229564660E+00 1.221798194E+0
1.249996187E+01 310 1.228213680E+00 1.225434230E+0
1.249996187E+01 315 1.237581464E+00 1.229070266E+0
1.249996187E+01 320 1.241534267E+00 1.232706302E+0
1.249996187E+01 325 1.240100925E+00 1.236342338E+0
1.249996187E+01 330 1.249263245E+00 1.239978374E+0
1.249996187E+01 335 1.253428693E+00 1.243614410E+0
1.249996187E+01 340 1.261474630E+00 1.247250446E+0
1.266670514E+01 290 1.225220686E+00 1.210890086E+0
1.266670514E+01 295 1.234817623E+00 1.214526122E+0
1.266670514E+01 300 1.220447891E+00 1.218162158E+0
1.266670514E+01 305 1.229946321E+00 1.221798194E+0
1.266670514E+01 310 1.228627326E+00 1.225434230E+0
1.266670514E+01 315 1.238185078E+00 1.229070266E+0
1.266670514E+01 320 1.247598250E+00 1.232706302E+0
1.266670514E+01 325 1.246540726E+00 1.236342338E+0
1.266670514E+01 330 1.250261665E+00 1.239978374E+0
1.266670514E+01 335 1.259235997E+00 1.243614410E+0
1.266670514E+01 340 1.263055536E+00 1.247250446E+0
1.283333839E+01 290 1.237403452E+00 1.210890086E+0
1.283333839E+01 295 1.235006473E+00 1.214526122E+0
1.283333839E+01 300 1.235478865E+00 1.218162158E+0
1.283333839E+01 305 1.230255224E+00 1.221798194E+0
1.283333839E+01 310 1.239879754E+00 1.225434230E+0
1.283333839E+01 315 1.238655620E+00 1.229070266E+0
1.283333839E+01 320 1.248219891E+00 1.232706302E+0
1.283333839E+01 325 1.257494834E+00 1.236342338E+0
1.283333839E+01 330 1.251592982E+00 1.239978374E+0
1.283333839E+01 335 1.260528311E+00 1.243614410E+0
1.283333839E+01 340 1.266973691E+00 1.247250446E+0
1.300000000E+01 290 1.237533822E+00 1.210890086E+0
1.300000000E+01 295 1.235629262E+00 1.214526122E+0
1.300000000E+01 300 1.244880720E+00 1.218162158E+0
1.300000000E+01 305 1.234796277E+00 1.221798194E+0
1.300000000E+01 310 1.240243654E+00 1.225434230E+0
1.300000000E+01 315 1.247699400E+00 1.229070266E+0
1.300000000E+01 320 1.248776571E+00 1.232706302E+0
1.300000000E+01 325 1.258210669E+00 1.236342338E+0
1.300000000E+01 330 1.260203596E+00 1.239978374E+0
1.300000000E+01 335 1.261744312E+00 1.243614410E+0
1.300000000E+01 340 1.271114845E+00 1.247250446E+0
